2026-04-16 01:03:52 | DEBUG    | validators | Inputs validated: symbol=BTCUSDT, side=BUY, type=MARKET, qty=0.1, price=None, stop_price=None
2026-04-16 01:03:53 | INFO     | client | Connection to Binance Futures Testnet successful.
2026-04-16 01:03:53 | DEBUG    | orders | Placing order: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.1, 'timestamp': 1776281633308, 'signature': '2c7c2bbda95acd7e86d02c088f464dc4a4c729a8a2dacddb43c59cd7fd60c769'}
2026-04-16 01:03:54 | DEBUG    | orders | Order response: {'orderId': 13037627234, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 's78FZjPIjhwUKiXsI8IBxU', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.1000', 'executedQty': '0.0000', 'cumQty': '0.0000', 'cumQuote': '0.000000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1776281633571} (status: 200)
2026-04-16 01:03:54 | INFO     | ui | UI order placed: orderId=13037627234, status=NEW
2026-04-16 01:07:05 | DEBUG    | validators | Inputs validated: symbol=BTCUSDT, side=SELL, type=MARKET, qty=0.1, price=None, stop_price=None
2026-04-16 01:07:06 | INFO     | client | Connection to Binance Futures Testnet successful.
2026-04-16 01:07:06 | DEBUG    | orders | Placing order: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'MARKET', 'quantity': 0.1, 'timestamp': 1776281826683, 'signature': '148f161c453101fd6be651953ad8448908882422930af2f67a01544358e54a43'}
2026-04-16 01:07:07 | DEBUG    | orders | Order response: {'orderId': 13037631365, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'ExweBtYULjoxDZKvpoZcMa', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.1000', 'executedQty': '0.0000', 'cumQty': '0.0000', 'cumQuote': '0.000000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1776281826951} (status: 200)
2026-04-16 01:07:07 | INFO     | ui | UI order placed: orderId=13037631365, status=NEW
2026-04-16 01:08:39 | ERROR    | validators | Validation error: Invalid stop price: '-0.01'. Must be greater than 0.
2026-04-16 01:08:46 | DEBUG    | validators | Inputs validated: symbol=BTCUSDT, side=SELL, type=STOP, qty=0.1, price=0.1, stop_price=0.03
2026-04-16 01:08:47 | INFO     | client | Connection to Binance Futures Testnet successful.
2026-04-16 01:08:47 | DEBUG    | orders | Placing order: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'STOP', 'quantity': 0.1, 'timestamp': 1776281927129, 'price': 0.1, 'stopPrice': 0.03, 'timeInForce': 'GTC', 'signature': 'a7a6bc302fd1af428051099516467be0591984d382e0b7a30e0c659c037620b5'}
2026-04-16 01:08:47 | DEBUG    | orders | Order response: {'code': -4120, 'msg': 'Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.'} (status: 400)
2026-04-16 01:08:47 | ERROR    | orders | API error -4120: Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.
2026-04-16 01:09:02 | ERROR    | validators | Validation error: Price is required for LIMIT orders.
2026-04-16 01:09:37 | DEBUG    | validators | Inputs validated: symbol=BTCUSDT, side=SELL, type=LIMIT, qty=0.1, price=75040.0, stop_price=None
2026-04-16 01:09:38 | INFO     | client | Connection to Binance Futures Testnet successful.
2026-04-16 01:09:38 | DEBUG    | orders | Placing order: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.1, 'timestamp': 1776281978452, 'price': 75040.0, 'timeInForce': 'GTC', 'signature': '90f0e2b53a05e35a4e39fec76c81318ac3d862345ee401662c4c0209f22f4c4d'}
2026-04-16 01:09:39 | DEBUG    | orders | Order response: {'orderId': 13037634267, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'NlDQrwTMcFr9JS6CFRND3D', 'price': '75040.00', 'avgPrice': '0.00', 'origQty': '0.1000', 'executedQty': '0.0000', 'cumQty': '0.0000', 'cumQuote': '0.000000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1776281978759} (status: 200)
2026-04-16 01:09:39 | INFO     | ui | UI order placed: orderId=13037634267, status=NEW
