2026-04-15 01:48:17 | DEBUG    | orders | Order response: {'orderId': 13035487090, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'BmiT8EtPoCk1B5fZxy8ONr', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.0100', 'executedQty': '0.0000', 'cumQty': '0.0000', 'cumQuote': '0.000000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1776197898103} (status: 200)
2026-04-15 01:48:17 | INFO     | cli | Order placed successfully: orderId=13035487090, status=NEW
2026-04-15 01:50:37 | DEBUG    | validators | Inputs validated: symbol=BTCUSDT, side=BUY, type=MARKET, qty=0.01, price=None, stop_price=None
2026-04-15 01:50:37 | INFO     | client | Connection to Binance Futures Testnet successful.
2026-04-15 01:50:37 | DEBUG    | orders | Placing order: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01, 'timestamp': 1776198037581, 'signature': '606b879ea65e5c52df0ad4701719abc3a8a2260b5a7b88674ff7c07367bc7d27'}
2026-04-15 01:50:38 | DEBUG    | orders | Order response: {'orderId': 13035490905, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'x4fqmYXcAiKNVppQXI0jou', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.0100', 'executedQty': '0.0000', 'cumQty': '0.0000', 'cumQuote': '0.000000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1776198038342} (status: 200)
2026-04-15 01:50:38 | INFO     | cli | Order placed successfully: orderId=13035490905, status=NEW
2026-04-15 01:50:46 | DEBUG    | validators | Inputs validated: symbol=BTCUSDT, side=SELL, type=MARKET, qty=0.01, price=None, stop_price=None
2026-04-15 01:50:47 | INFO     | client | Connection to Binance Futures Testnet successful.
2026-04-15 01:50:47 | DEBUG    | orders | Placing order: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'MARKET', 'quantity': 0.01, 'timestamp': 1776198047074, 'signature': '0319d52ab4638fd556c8b76afdc1218b89b10d262b3d8bd559165875414cc7cf'}
2026-04-15 01:50:47 | DEBUG    | orders | Order response: {'orderId': 13035491025, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'HlUMzYK2k9JYIVeRpMSKus', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.0100', 'executedQty': '0.0000', 'cumQty': '0.0000', 'cumQuote': '0.000000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1776198047819} (status: 200)
2026-04-15 01:50:47 | INFO     | cli | Order placed successfully: orderId=13035491025, status=NEW
2026-04-15 01:51:24 | DEBUG    | validators | Inputs validated: symbol=BTCUSDT, side=BUY, type=LIMIT, qty=0.01, price=70000.0, stop_price=None
2026-04-15 01:51:25 | INFO     | client | Connection to Binance Futures Testnet successful.
2026-04-15 01:51:25 | DEBUG    | orders | Placing order: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'LIMIT', 'quantity': 0.01, 'timestamp': 1776198085260, 'price': 70000.0, 'timeInForce': 'GTC', 'signature': '74f261836311fbf22cf2f8627478dfd4e3711de3fcb7f273db91b37c45b0204c'}
2026-04-15 01:51:25 | DEBUG    | orders | Order response: {'orderId': 13035492215, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'R3RMvA4UyIITrgazLSQEy8', 'price': '70000.00', 'avgPrice': '0.00', 'origQty': '0.0100', 'executedQty': '0.0000', 'cumQty': '0.0000', 'cumQuote': '0.000000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1776198086006} (status: 200)
2026-04-15 01:51:25 | INFO     | cli | Order placed successfully: orderId=13035492215, status=NEW
2026-04-15 01:51:33 | DEBUG    | validators | Inputs validated: symbol=BTCUSDT, side=SELL, type=LIMIT, qty=0.01, price=99000.0, stop_price=None
2026-04-15 01:51:34 | INFO     | client | Connection to Binance Futures Testnet successful.
2026-04-15 01:51:34 | DEBUG    | orders | Placing order: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.01, 'timestamp': 1776198094460, 'price': 99000.0, 'timeInForce': 'GTC', 'signature': 'ed210320fded3f491fa0a1c775cffd5da3ac04cc4ced6a54ad6ea109de8b9e6a'}
